"match_id","id","total_goals","supremacy","phi","cov_lambda","fit_error","expH","expA"
3754091,"premier475",2.33,0.42,0.28,0.11,3.70480554773421e-07,1.37,0.96
3754092,"premier736",2.85,0.08,0.28,0.1,4.39344774241094e-08,1.46,1.38
3754093,"premier519",2.75,0.06,0.29,0.1,3.2637131654198e-08,1.4,1.35
3754094,"premier614",2.37,0.92,0.25,0.14,8.2944118735735e-08,1.64,0.72
3754095,"premier616",3,-1.25,0.2,0.1,9.2630368207468e-08,0.88,2.12
3754096,"premier536",2.45,0.12,0.3,0.1,1.18432035738195e-08,1.28,1.16
3754097,"premier385",2.85,0.97,0.24,0.15,1.072840521125e-07,1.91,0.94
3754098,"premier481",2.57,0.43,0.28,0.12,4.28089686111421e-08,1.5,1.07
3754099,"premier454",2.47,0.68,0.27,0.15,7.82276090588509e-08,1.58,0.89
3754100,"premier681",2.63,0.39,0.3,0.12,5.13941879342031e-08,1.51,1.12
3754101,"premier574",2.68,-0.15,0.31,0.09,2.93677990910396e-08,1.26,1.41
3754102,"premier469",2.72,0.14,0.28,0.11,5.45784776853289e-08,1.43,1.29
3754103,"premier620",2.39,-0.71,0.26,0.06,1.01125831774672e-07,0.84,1.55
3754104,"premier404",2.47,0.4,0.29,0.12,3.49981818783992e-08,1.44,1.03
3754105,"premier450",2.39,-0.12,0.29,0.08,1.83048261541169e-08,1.14,1.26
3754106,"premier428",2.7,0.64,0.26,0.13,1.95224524337979e-07,1.67,1.03
3754107,"premier391",2.49,-0.74,0.26,0.07,1.28467346361242e-07,0.87,1.61
3754108,"premier742",2.83,-0.3,0.27,0.07,1.36593074943433e-08,1.27,1.57
3754109,"premier509",2.98,1.05,0.23,0.19,9.78669242942043e-08,2.01,0.96
3754110,"premier608",2.92,-0.86,0.23,0.06,3.2911687583764e-08,1.03,1.89
3754111,"premier609",2.7,0.3,0.29,0.11,3.64562059874953e-08,1.5,1.2
3754112,"premier388",2.48,-0.14,0.3,0.09,2.8776716135113e-08,1.17,1.31
3754113,"premier524",2.65,1.05,0.22,0.23,9.67974490318857e-08,1.85,0.8
3754114,"premier579",2.41,-0.51,0.28,0.06,1.29344056873967e-07,0.95,1.46
